Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Mean,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Idle Mean
523362,190,1,0,12,3,6.0,0.0,3.0,0.0,443414.0,45309.20312,16.0,0.0,15.0,0.0,0,0,0,0,1,1,42,13,152698.37979,250000.0,4,5,6.0,0.0,8.0,6.0,0.0,32,111,0,0
80,100673150,10,8,2298,11595,229.8,195.2086064,1449.375,1729.380148,138.001046,0.178796432,5921950.0,23600000.0,11200000.0,14400000.0,1,0,0,0,0,0,304,264,0.099331351,0.079465081,0,4344,731.5263158,1257.077359,772.1666667,229.8,1449.375,0,235,10020,97300000
5484081,178,1,0,6,1,5.31969246141222,0.0,0.9590773842366608,0.0,404707.4938791224,146847.9570429449,19.0,0.0,11.516617075534423,0.0,0,0,0,0,1,0,42,22,61311.41496479764,237063.6445489545,5,5,5.68030753858778,0.0,10.04092261576334,6.0,6.0,34,92,0,0
476264,95,1,0,9,2,4.53323710675202,0.0,0.0,0.0,506647.421350404,149816.38973559247,8.53323710675202,0.0,13.3323710675202,0.0,0,0,0,0,1,0,32,22,42105.26316,133309.27668800502,4,4,4.0,0.0,8.59971132025606,4.0,0.0,31,-1,0,0
80,101115128,10,5,354,11595,34.9295069403333,107.86542038464304,2003.385843058352,2516.8771069724926,118.1787975260592,0.1582357490523948,6741008.538189228,25281659.549014658,10998255.039161222,1566.9857192521272,0,0,0,0,1,0,330,194,0.1007162375743499,0.0575195116614494,0,5792,702.9214011725,1687.0763115329348,746.8539887253664,34.9295069403333,2003.385843058352,274,235,827,98126638
80,5821928,5,0,30,0,6.0,0.0,0.0,0.0,5.152932156,0.858822026,1455482.0,2910300.038,1455482.0,0.0,0,0,0,0,1,0,100,0,0.858822026,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,996,5820932
5963,57,1,1,2,6,2.0,0.0,6.0,0.0,140350.8772,35087.7193,57.0,0.0,0.0,0.0,0,0,0,1,0,0,24,20,17543.85965,17543.85965,2,6,3.333333333,2.309401077,5.0,2.0,6.0,1024,0,0,0
80,100496048,10,7,371,11595,34.186810505171344,112.61187907153838,1656.428571,2119.654779563689,119.07059874222917,0.1777325408104388,5963373.077517638,23725544.47458684,10167392.63278245,216.31342018847656,0,0,0,0,1,0,371,232,0.1080776754776979,0.0696548653327408,0,5792,634.6677109486224,1472.3275593290653,670.2297714863635,34.186810505171344,1656.428571,254,235,4594,97497645
1818104,155,1,1,6,4,6.0,0.0,0.979622306417506,0.0,389786.2581620373,187459.7044335623,16.979622306417507,0.0,14.959244612835011,0.0,0,0,0,0,1,0,33,27,107392.63929528582,236786.52779027188,5,4,5.6734592311941645,0.0,9.346918462388327,6.0,6.0,34,269,0,0
80,5820863,5,0,30,0,6.0,0.0,0.0,0.0,5.153874949,0.858979158,1455215.75,2909093.653,1455215.75,0.0,0,0,0,0,1,0,100,0,0.858979158,0.0,6,6,6.0,0.0,7.2,6.0,0.0,256,-1,2007,5818856
